"Measure","Time","Time_tye","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Earnings Quartile","Value","Value_type","Denominator"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Earnings LQ","15300","Pounds Sterling","184470"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Earnings Median","20800","Pounds Sterling","184470"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Earnings UQ","26600","Pounds Sterling","184470"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Earnings LQ","18200","Pounds Sterling","194530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Earnings Median","24500","Pounds Sterling","194530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","All","LEO","Earnings UQ","31800","Pounds Sterling","194530"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Earnings LQ","19700","Pounds Sterling","207420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Earnings Median","27400","Pounds Sterling","207420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Earnings UQ","36500","Pounds Sterling","207420"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Earnings LQ","19700","Pounds Sterling","173160"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Earnings Median","31100","Pounds Sterling","173160"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Earnings UQ","43800","Pounds Sterling","173160"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Earnings LQ","16100","Pounds Sterling","3495"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Earnings Median","21900","Pounds Sterling","3495"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Asian Background","LEO","Earnings UQ","28500","Pounds Sterling","3495"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Earnings LQ","19000","Pounds Sterling","3385"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Earnings Median","26300","Pounds Sterling","3385"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Asian Background","LEO","Earnings UQ","35000","Pounds Sterling","3385"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Earnings LQ","20400","Pounds Sterling","3125"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Earnings Median","29200","Pounds Sterling","3125"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Earnings UQ","41000","Pounds Sterling","3125"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Earnings LQ","19300","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Earnings Median","34300","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Earnings UQ","49600","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Earnings LQ","12800","Pounds Sterling","650"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Earnings Median","19300","Pounds Sterling","650"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Black Background","LEO","Earnings UQ","25900","Pounds Sterling","650"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Earnings LQ","15700","Pounds Sterling","520"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Earnings Median","23000","Pounds Sterling","520"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Black Background","LEO","Earnings UQ","29600","Pounds Sterling","520"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Earnings LQ","16800","Pounds Sterling","535"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Earnings Median","25600","Pounds Sterling","535"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Earnings UQ","34700","Pounds Sterling","535"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Earnings LQ","18200","Pounds Sterling","475"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Earnings Median","29600","Pounds Sterling","475"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Earnings UQ","39400","Pounds Sterling","475"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","13900","Pounds Sterling","1885"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","20400","Pounds Sterling","1885"
"Earnings of graduates after higher education","2018/2019","Tax Year","2016/2017","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","27000","Pounds Sterling","1885"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","17900","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","24800","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2014/2015","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","32500","Pounds Sterling","1955"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","19700","Pounds Sterling","1905"
