"years after graduation","Ethnicity","Average (median) earnings (£)"
"1 Year After Graduation","All","20,800"
"1 Year After Graduation","Bangladeshi","19,000"
"1 Year After Graduation","Chinese","23,000"
"1 Year After Graduation","Indian","22,600"
"1 Year After Graduation","Pakistani","19,300"
"1 Year After Graduation","Any Other Asian Background","21,900"
"1 Year After Graduation","Black African","20,800"
"1 Year After Graduation","Black Caribbean","19,300"
"1 Year After Graduation","Any Other Black Background","19,300"
"1 Year After Graduation","Mixed White And Asian","21,500"
"1 Year After Graduation","Mixed White And Black African","20,100"
"1 Year After Graduation","Mixed White And Black Caribbean","19,000"
"1 Year After Graduation","Any Other Mixed Ethnic Background","20,400"
"1 Year After Graduation","White","20,800"
"1 Year After Graduation","Arab","20,800"
"1 Year After Graduation","Other","20,400"
"1 Year After Graduation","Unknown","21,900"
"3 Years After Graduation","All","24,500"
"3 Years After Graduation","Bangladeshi","23,700"
"3 Years After Graduation","Chinese","27,000"
"3 Years After Graduation","Indian","27,400"
"3 Years After Graduation","Pakistani","22,600"
"3 Years After Graduation","Any Other Asian Background","26,300"
"3 Years After Graduation","Black African","24,500"
"3 Years After Graduation","Black Caribbean","23,000"
"3 Years After Graduation","Any Other Black Background","23,000"
"3 Years After Graduation","Mixed White And Asian","26,300"
"3 Years After Graduation","Mixed White And Black African","24,500"
"3 Years After Graduation","Mixed White And Black Caribbean","23,000"
"3 Years After Graduation","Any Other Mixed Ethnic Background","24,800"
"3 Years After Graduation","White","24,500"
"3 Years After Graduation","Arab","24,500"
"3 Years After Graduation","Other","24,800"
"3 Years After Graduation","Unknown","24,100"
"5 Years After Graduation","All","27,400"
"5 Years After Graduation","Bangladeshi","25,900"
"5 Years After Graduation","Chinese","29,900"
"5 Years After Graduation","Indian","31,000"
"5 Years After Graduation","Pakistani","23,700"
"5 Years After Graduation","Any Other Asian Background","29,200"
"5 Years After Graduation","Black African","26,300"
"5 Years After Graduation","Black Caribbean","25,200"
"5 Years After Graduation","Any Other Black Background","25,600"
"5 Years After Graduation","Mixed White And Asian","29,200"
"5 Years After Graduation","Mixed White And Black African","27,400"
"5 Years After Graduation","Mixed White And Black Caribbean","25,600"
"5 Years After Graduation","Any Other Mixed Ethnic Background","28,100"
"5 Years After Graduation","White","27,400"
"5 Years After Graduation","Arab","30,300"
"5 Years After Graduation","Other","27,700"
"5 Years After Graduation","Unknown","27,000"
"10 Years After Graduation","All","31,100"
"10 Years After Graduation","Bangladeshi","28,800"
"10 Years After Graduation","Chinese","34,700"
"10 Years After Graduation","Indian","34,700"
"10 Years After Graduation","Pakistani","25,200"
"10 Years After Graduation","Any Other Asian Background","34,300"
"10 Years After Graduation","Black African","29,200"
"10 Years After Graduation","Black Caribbean","28,100"
"10 Years After Graduation","Any Other Black Background","29,600"
"10 Years After Graduation","Mixed White And Asian","35,800"
"10 Years After Graduation","Mixed White And Black African","29,600"
"10 Years After Graduation","Mixed White And Black Caribbean","29,200"
"10 Years After Graduation","Any Other Mixed Ethnic Background","32,100"
"10 Years After Graduation","White","31,400"
"10 Years After Graduation","Arab","!"
"10 Years After Graduation","Other","31,000"
"10 Years After Graduation","Unknown","29,200"
