"","Education, apprenticeships or employment","Education","Apprenticeships","Employment","No sustained education/employment","Unknown"
"Ethnicity","%","%","%","%","%","%"
"All","94","87","4","3","5","1"
"Asian","96","94","1","1","3","1"
"Bangladeshi","96","95","1","1","3","1"
"Indian","97","96","1","1","2","1"
"Pakistani","94","92","1","1","4","1"
"Asian other","96","95","0","1","3","1"
"Black","95","93","1","1","4","1"
"Black African","96","94","1","1","3","1"
"Black Caribbean","93","89","2","2","6","1"
"Black other","93","90","2","1","5","1"
"Chinese","98","97","1","0","1","1"
"Mixed","93","88","2","2","6","1"
"Mixed White/Asian","94","90","2","3","5","1"
"Mixed White/Black African","93","89","2","2","6","1"
"Mixed White/Black Caribbean","91","84","3","3","8","1"
"Mixed other","94","90","2","2","5","1"
"White","94","85","5","4","5","1"
"White British","94","85","6","4","5","1"
"White Irish","94","88","3","3","5","1"
"Gypsy/Roma","67","56","2","8","23","10"
"Irish Traveller","72","58","10","5","22","6"
"White other","92","89","1","2","5","3"
"Other","93","92","1","1","4","2"
"Unknown","91","83","4","4","7","2"
