"","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18"
"Ethnicity","%","%","%","%","%","%","%","%"
"All","89","89","91","92","94","94","94","94"
"Asian","93","92","94","95","95","96","96","96"
"Bangladeshi","92","91","93","95","94","96","96","96"
"Indian","95","96","96","97","97","98","98","97"
"Pakistani","90","90","92","93","94","94","94","94"
"Asian other","94","93","94","95","96","96","96","96"
"Black","91","91","94","94","94","94","94","95"
"Black African","93","92","95","95","95","95","95","96"
"Black Caribbean","89","89","92","93","93","93","93","93"
"Black other","89","91","93","93","94","94","94","93"
"Chinese","97","97","97","98","97","98","99","98"
"Mixed","88","89","90","92","93","93","93","93"
"Mixed White/Asian","91","91","93","93","94","94","94","94"
"Mixed White/Black African","87","89","91","93","94","94","94","93"
"Mixed White/Black Caribbean","86","86","87","89","91","91","91","91"
"Mixed other","89","90","91","92","94","93","93","94"
"White","89","89","90","92","94","94","94","94"
"White British","89","89","90","92","94","94","94","94"
"White Irish","89","89","92","92","93","94","94","94"
"Gypsy/Roma","67","61","62","68","68","65","66","67"
"Irish Traveller","60","50","62","55","67","69","73","72"
"White other","90","89","91","91","92","93","93","92"
"Other","91","90","92","93","93","93","93","93"
"Unknown","86","88","90","91","92","90","90","91"
