"FSM","Ethnicity","%"
"FSM","All","61"
"FSM","Asian","70"
"FSM","Bangladeshi","74"
"FSM","Indian","73"
"FSM","Pakistani","67"
"FSM","Asian other","71"
"FSM","Black","68"
"FSM","Black African","71"
"FSM","Black Caribbean","61"
"FSM","Black other","65"
"FSM","Chinese","83"
"FSM","Mixed","65"
"FSM","Mixed White/Asian","68"
"FSM","Mixed White/Black African","67"
"FSM","Mixed White/Black Caribbean","61"
"FSM","Mixed other","66"
"FSM","White","58"
"FSM","White British","58"
"FSM","White Irish","54"
"FSM","Gypsy/Roma","34"
"FSM","Irish Traveller","30"
"FSM","White other","62"
"FSM","Other","64"
"FSM","Unknown","61"
"Non-FSM","All","79"
"Non-FSM","Asian","80"
"Non-FSM","Bangladeshi","79"
"Non-FSM","Indian","86"
"Non-FSM","Pakistani","74"
"Non-FSM","Asian other","82"
"Non-FSM","Black","76"
"Non-FSM","Black African","78"
"Non-FSM","Black Caribbean","71"
"Non-FSM","Black other","73"
"Non-FSM","Chinese","92"
"Non-FSM","Mixed","79"
"Non-FSM","Mixed White/Asian","83"
"Non-FSM","Mixed White/Black African","79"
"Non-FSM","Mixed White/Black Caribbean","74"
"Non-FSM","Mixed other","80"
"Non-FSM","White","79"
"Non-FSM","White British","79"
"Non-FSM","White Irish","80"
"Non-FSM","Gypsy/Roma","34"
"Non-FSM","Irish Traveller","43"
"Non-FSM","White other","76"
"Non-FSM","Other","74"
"Non-FSM","Unknown","59"
