"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","75","24","77","20"
"Asian","77","26","80","22"
"Bangladeshi","76","24","80","20"
"Indian","84","34","87","30"
"Pakistani","71","19","75","16"
"Asian other","79","29","82","25"
"Black","72","20","76","19"
"Black African","74","22","78","21"
"Black Caribbean","66","14","71","15"
"Black other","69","18","74","17"
"Chinese","90","48","92","44"
"Mixed","75","25","78","20"
"Mixed White/Asian","80","32","82","26"
"Mixed White/Black African","75","24","78","19"
"Mixed White/Black Caribbean","69","17","73","14"
"Mixed other","77","27","78","22"
"White","75","24","77","19"
"White British","75","24","78","19"
"White Irish","75","28","78","24"
"Gypsy/Roma","32","3","35","2"
"Irish Traveller","36","3","35","3"
"White other","75","24","76","18"
"Other","72","22","73","17"
"Unknown","59","18","60","13"
