"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","All","All","76","%","664979","505737"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","All","FSM","61","%","91174","55284"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","79","%","573805","450453"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","All","75","%","340912","255323"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","59","%","46833","27506"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","77","%","294079","227817"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","All","77","%","324067","250414"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","63","%","44341","27778"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","80","%","279726","222636"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","78","%","70705","55490"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","70","%","7593","5279"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","80","%","63112","50211"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","77","%","36135","27721"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","67","%","3857","2592"
"Percentage of pupils reaching the expected standard in key stage 1 maths","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","78","%","32278","25129"
