"","2015/16","2016/17","2017/18"
"Ethnicity","%","%","%"
"All","N/A","36","35"
"Asian","","",""
"Bangladeshi","38","36","35"
"Chinese","38","40","36"
"Indian","38","38","37"
"Pakistani","34","34","33"
"Asian other","39","38","37"
"Black","","",""
"Black African","38","38","37"
"Black Caribbean","43","41","40"
"Black other","40","37","38"
"Mixed","","",""
"Mixed White/Asian","40","39","37"
"Mixed White/Black African","39","38","37"
"Mixed White/Black Caribbean","40","39","39"
"Mixed other","38","38","37"
"White","","",""
"White British","37","36","35"
"White Irish","40","40","39"
"White Gypsy/Traveller","39","37","36"
"White other","34","34","33"
"Other","","",""
"Arab","38","38","36"
"Any other","38","37","38"
