"Sex","Ethnicity","%","Number of people unemployed"
"All","All","4","1,360,800"
"All","Asian","6","138,800"
"All","Indian","4","39,200"
"All","Pakistani, Bangladeshi","8","66,000"
"All","Asian Other","6","33,500"
"All","Black","9","91,900"
"All","Mixed","7","28,000"
"All","White","4","1,060,900"
"All","White British","4","971,400"
"All","White Other","3","89,500"
"All","Other","8","40,100"
"Men","All","4","727,800"
"Men","Asian","5","65,700"
"Men","Indian","4","19,100"
"Men","Pakistani, Bangladeshi","6","31,100"
"Men","Asian Other","6","15,500"
"Men","Black","9","46,000"
"Men","Mixed","8","15,200"
"Men","White","4","579,000"
"Men","White British","4","537,700"
"Men","White Other","3","41,300"
"Men","Other","7","21,400"
"Women","All","4","633,000"
"Women","Asian","8","73,100"
"Women","Indian","5","20,100"
"Women","Pakistani, Bangladeshi","13","34,900"
"Women","Asian Other","7","18,100"
"Women","Black","9","45,900"
"Women","Mixed","7","12,800"
"Women","White","4","481,900"
"Women","White British","4","433,700"
"Women","White Other","4","48,200"
"Women","Other","8","18,700"
