"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","7151","11375897","10590311","1841142","1674686","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","40","63327","56678","27657","25036","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","71","112906","89546","35584","28383","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3669","5837462","5447831","690475","640321","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","2050","3260875","3108984","375713","356523","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","83","131452","98930","20980","15766","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","39","62056","55254","5944","5166","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","72","114736","112935","1339","1310","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","203","322518","296621","77173","70534","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","141","224994","218782","13524","13046","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","62","98276","86892","6403","5508","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","455","723523","637055","26718","22708","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","55","87740","79567","19778","17762","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","211","336033","301236","539853","472623","82950","81145","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4567","370467","307282","78873","64757","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","10","849","700","379","310","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","153","12427","9766","3689","2942","4229","3711","            "
"Average distance per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1878","152332","127929","21641","18366","4229","3711","            "
