"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","341200","295220"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education","60","% of cohort","341200","204035"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","341200","12400"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Employment","23","% of cohort","341200","78790"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","341200","34775"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","341200","11205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","1215","1055"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","88","% of cohort","264980","231865"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","95","% of cohort","20","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","1870","1675"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","73","% of cohort","18090","13190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","795","685"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","7510","6370"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","3560","3030"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","1250","1085"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","2415","2070"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","9875","8870"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","3030","2580"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","3170","2705"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","84","% of cohort","2995","2520"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","40","40"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","84","% of cohort","8010","6750"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","3560","3070"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","1950","1685"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","6855","5960"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","63","% of cohort","1215","770"
