"","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","%","%","%","%","%","%","%"
"All","87","88","88","89","88","90","89"
"Asian","87","87","87","88","88","89","89"
"Bangladeshi","85","86","87","89","89","91","90"
"Indian","90","90","89","91","90","91","91"
"Pakistani","85","85","85","85","85","87","87"
"Asian other","86","88","88","90","89","89","90"
"Black","86","86","87","89","89","90","90"
"Black African","87","88","88","90","90","92","90"
"Black Caribbean","85","83","84","87","87","88","87"
"Black other","87","86","88","88","87","89","89"
"Chinese","89","91","90","92","91","92","91"
"Mixed","86","87","86","88","87","89","88"
"Mixed White/Asian","87","90","88","89","88","89","89"
"Mixed White/Black African","86","87","86","88","85","89","87"
"Mixed White/Black Caribbean","86","86","86","87","87","89","87"
"Mixed other","85","87","86","87","86","88","87"
"White","87","89","88","90","89","90","89"
"White British","88","89","88","90","89","90","89"
"White Irish","87","90","87","88","88","89","90"
"Gypsy/Roma","90","82","62","76","73","78","73"
"Irish traveller","95","87","89","65","95","65","65"
"White other","84","86","85","86","85","87","85"
"Other","84","85","85","87","87","88","87"
"Unknown","73","74","80","81","80","81","80"
